id,x,y,H,q0
1,319.713,12.505,80.0,10.0
2,137.515,111.605,80.0,10.0
3,368.236,338.35,80.0,10.0
4,446.09,43.469,80.0,10.0
5,210.961,14.899,80.0,10.0
6,109.319,252.678,80.0,10.0
7,13.268,99.419,80.0,10.0
8,324.942,272.471,80.0,10.0
9,110.22,294.633,80.0,10.0
10,404.715,3.249,80.0,10.0
11,402.91,349.07,80.0,10.0
12,170.125,77.74,80.0,10.0
13,478.607,168.297,80.0,10.0
14,46.373,48.358,80.0,10.0
15,423.747,301.863,80.0,10.0
16,268.114,486.558,80.0,10.0
17,189.267,276.02,80.0,10.0
18,352.286,22.912,80.0,10.0
19,113.949,144.694,80.0,10.0
20,39.896,116.395,80.0,10.0
21,50.501,138.987,80.0,10.0
22,317.842,182.416,80.0,10.0
23,185.09,104.754,80.0,10.0
24,133.489,468.327,80.0,10.0
25,324.018,304.566,80.0,10.0
26,85.569,364.563,80.0,10.0
27,81.701,189.728,80.0,10.0
28,494.762,320.0,80.0,10.0
29,278.475,342.307,80.0,10.0
30,421.426,388.0,80.0,10.0
31,114.524,16.05,80.0,10.0
32,157.727,133.87,80.0,10.0
33,105.491,471.455,80.0,10.0
34,438.184,157.339,80.0,10.0
35,457.274,229.426,80.0,10.0
36,280.684,131.371,80.0,10.0
37,292.293,448.911,80.0,10.0
38,498.769,254.763,80.0,10.0
39,45.455,23.558,80.0,10.0
40,54.825,313.723,80.0,10.0
41,396.04,211.08,80.0,10.0
42,31.764,190.81,80.0,10.0
43,485.539,430.39,80.0,10.0
44,5.741,360.361,80.0,10.0
45,133.413,320.481,80.0,10.0
46,55.776,217.383,80.0,10.0
47,226.862,476.908,80.0,10.0
48,437.926,131.695,80.0,10.0
49,250.293,89.326,80.0,10.0
50,456.314,435.259,80.0,10.0
51,304.485,76.42,80.0,10.0
52,381.255,269.69,80.0,10.0
53,0.286,162.078,80.0,10.0
54,9.738,464.549,80.0,10.0
55,439.361,415.833,80.0,10.0
56,153.757,28.963,80.0,10.0
57,439.005,473.475,80.0,10.0
58,42.827,242.995,80.0,10.0
59,34.606,380.301,80.0,10.0
60,382.917,64.196,80.0,10.0
61,237.641,274.902,80.0,10.0
62,132.528,436.217,80.0,10.0
63,211.569,105.899,80.0,10.0
64,269.648,364.966,80.0,10.0
65,219.05,258.788,80.0,10.0
66,60.502,112.349,80.0,10.0
67,169.043,294.154,80.0,10.0
68,115.057,110.109,80.0,10.0
69,114.471,452.71,80.0,10.0
70,119.002,334.489,80.0,10.0
71,107.118,66.156,80.0,10.0
72,467.757,285.522,80.0,10.0
73,236.336,392.31,80.0,10.0
74,403.748,95.205,80.0,10.0
75,211.789,233.512,80.0,10.0
76,492.083,49.209,80.0,10.0
77,201.311,169.651,80.0,10.0
78,95.104,224.307,80.0,10.0
79,210.941,139.273,80.0,10.0
80,221.565,430.675,80.0,10.0
81,275.163,25.294,80.0,10.0
82,484.498,463.183,80.0,10.0
83,424.348,83.156,80.0,10.0
84,189.487,492.654,80.0,10.0
85,132.602,392.035,80.0,10.0
86,227.504,211.504,80.0,10.0
87,478.659,497.711,80.0,10.0
88,77.398,148.354,80.0,10.0
89,28.583,292.089,80.0,10.0
90,251.425,426.36,80.0,10.0
91,78.716,480.389,80.0,10.0
92,40.056,92.912,80.0,10.0
93,297.26,309.691,80.0,10.0
94,209.612,291.836,80.0,10.0
95,261.391,467.353,80.0,10.0
96,119.343,197.893,80.0,10.0
97,335.845,149.999,80.0,10.0
98,158.089,375.932,80.0,10.0
99,499.227,498.048,80.0,10.0
100,305.839,493.617,80.0,10.0
101,408.552,149.689,80.0,10.0
102,331.694,469.465,80.0,10.0
103,67.146,57.714,80.0,10.0
104,53.518,276.612,80.0,10.0
105,358.806,101.799,80.0,10.0
106,317.119,131.992,80.0,10.0
107,244.266,452.668,80.0,10.0
108,423.052,46.149,80.0,10.0
109,1.773,385.56,80.0,10.0
110,37.622,441.553,80.0,10.0
111,451.964,272.795,80.0,10.0
112,154.129,449.491,80.0,10.0
113,398.061,430.351,80.0,10.0
114,449.462,105.038,80.0,10.0
115,124.765,51.397,80.0,10.0
116,111.217,408.293,80.0,10.0
117,230.152,152.595,80.0,10.0
118,483.445,139.562,80.0,10.0
119,469.619,57.671,80.0,10.0
120,485.2,89.284,80.0,10.0
121,364.273,156.839,80.0,10.0
122,303.104,255.712,80.0,10.0
123,127.361,354.393,80.0,10.0
124,182.111,34.987,80.0,10.0
